Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak,label
PENGARUH FAKTOR-FAKTOR PELATIHAN DAN PENGEMBANGAN TERHADAP PRODUKTIVITAS KERJA DINAS KELAUTAN DAN PERIKANAN KABUPATEN BANGKALAN,Penulis : SATIYAH,"Dra. Hj. S. Anugrahini Irawati, MM","Helmi Buyung Aulia,S,ST.SE,M.MT","                                    ABSTRAK
Satiyah, Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Dibawah bimbingan Dra.Hj.S.Anugrahini Irawati,MM dan  Helmi Buyung Aulia,S,ST.SE,M.MT
Dalam upaya meningkatkan produktivitas kerja tidaklah mudah, oleh karena itu salah satu usaha agar produktivitas meningkat adalah menerapkan program pelatihan dan pengembangan sumber daya manusia (SDM) perlu dilaksanakan dalam instansi agar produktivitas yang tinggi dapat tercapai dengan meningkat kemampuan pegawai agar dapat bekerja secara efektif dan efisien. Dengan adanya pelatihan dan pengembnagan diharapkan pegawai juga mampu menyesuaikan diri dengan kebutuhan-kebutuhan baru atas sikap, tingkah laku keterampilan dan pengetahuan sesuai dengan tuntutan perubahan. Dengan adanya pelatihan dan pengembangan pegawai yang baik dapat mendukung terciptanya suasana kerja yang kondusif dalam instansi, sehingga dengan sendirinya produktivitasi kerja akan meningkat.
Tujuan penelitian ini adalah untuk mengetahui seberapa besar Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Untuk mengukur dan menganalisa hubungan antara kedua variabel di atas, peneliti menggunakan pendekatan observasional analitik, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuisioner untuk dianalisis. Penelitian ini merupakan penelitian populasi dengan 30 responden sebagai sampel serta diolah dengan SPSS Versi 13.00 dan dianalisis dengan menggunakan metode statistik, yaitu metode non probality sampling secara simple random sampling.
Kesimpulan penelitian ini adalah (1a). Faktor-faktor pelatihan dan pengembangan yang terdiri dari, perbedaan individu pegawai (X1), hubungan dengan analisis jabatan (X2), motivasi (X3), partisipasi aktif (X4), seleksi peserta (X5), seleksi  instruktur (X6) dan metode pelatihan dan pengembangan (X7) mempunyai pengaruh simultan terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. Terbukti dengan nilai koefisien determinasi berganda (R2) atau R square = 0,751, Fhitung 9,500 lebih besar dari Ftabel 2,37. (1b) Faktor hubungan dengan analisis jabatan tidak berpengaruh secara parsial terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. (2) Pengujian Hipotesis kedua menunjukkan bahwa variabel motivasi (X3) tidak terbukti, karena dilihat dari nilai thitung Sebesar 6,442 menunjukkan bahwa seleksi peserta (X5) yang mempunyai pengaruh (dominan) terhadap produktivitas kerja pegawai pada instansi Dinas Kelautan dan Perikanan Bangkalan. 

Kata kunci : Dinas Kelautan dan Perikanan, Faktor-faktor Pelatihan dan Pengembangan,  Produktivitas Kerja.
",msdm
ANALISIS PERSEPSI BRAND ASSOCIATION MENURUT PELANGGAN PAKAIAN KIDDROCK (STUDI PADA DISTRO CRANBERRIES PAMEKASAN),Penulis : Faishal,Nurita Andriani,Yustina Chrismardani,"Tujuan penelitian ini adalah untuk mengetahui persepsi brand association menurut pelanggan pakaian Kiddrock (studi pada distro Cranberries Pamekasan). Penelitian ini menggunakan metode deskriptif, dengan  metode survei.
Populasi penelitian ini adalah pelanggan pakaian Kiddrock di distro Cranberries dan Sampel dalam penelitian ini adalah 70 orang responden di distro Cranberries pada bulan Desember 2012. Metode pengambilan sampel yang digunakan adalah sampling aksidental. Metode pengumpulan data dengan cara penelitian lapangan (field research) dengan membagikan kuesioner dan riset perpustakaan data. Teknik pengolahan data yang digunakan ialah pengolaha data dengan bantuan perangkat lunak SPSS versi 16 (uji validitas dan uji reabilitas) dan menggunakan skala likert.
Persepsi konsumen terhadap brand association terdiri dari beberapa dimensi, yaitu: dimensi jaminan, dimensi identifikasi pribadi, dimensi identifikasi sosial, dimensi status, dimensi kesediaan menerima perluasan merek, dan dimensi kesediaan untuk merekomendasikan merek. Hasil analisis menunjukan bahwa persepsi brand association menurut pelanggan pakaian Kiddrock di distro Cranberriess lebih di apresisasikan pada dimensi jaminan.

Kata kunci : Brand Association, Presepsi, Kiddrock, Cranberries.",msdm
Pengukuran Website Quality Pada Situs Sistem Akademik Online Menggunakan Analisis Tingkat Kepentingan - Kinerja (Studi Pada Portal Akademik UTM),Penulis : Muhammad Zakaria Utomo,"Dr. Ir. Nurita Andriani, MM","Nirma Kurriwati, SP, M.Si","Aplikasi nyata pemanfaatan teknologi informasi dan komunikasi adalah pada bidang layanan administrasi akademik perguruan tinggi, salah satunya sistem portal akademik Universitas Trunojoyo Madura. Implementasi dalam proses penyelenggaraannya sering menemui banyak kendala, baik teknis maupun non teknis. Penelitian ini bertujuan untuk mengetahui kepuasan pelanggan berdasarkan analisis indeks kepuasan pelanggan ditinjau dari Webqual 4.0 dan untuk mengetahui fokus perbaikan mutu terhadap pelayanan website portal akademik Universitas Trunjoyo Madura berdasarkan Importance Performance Analysis ditinjau dari Webqual 4.0.
	Penelitian ini merupakan penelitian kuantitaif deskriptif, digunakan untuk mengetahui gambaran, deskripsi, atau lukisan secara sistematis, faktual dan akurat mengenai kualitas pelayanan jasa online yang diberikan kepada mahasiswa.Sampelpenelitianiniadalahmahasiswaangkatan 2009/2010, teknik sampel yang digunakan teknik Stratified Random Sampling dengan alat analisis Indeks Kepuasan Pelanggan dan analisis Tingkat Kepentingan â Kinerja. Hasil penelitian didapat skor Indeks Kepuasan Pelanggan (IKP) sebesar 60.42% dan masuk dalam kategori âcukup puasâ, sedangkan Diagram  Kartesius Importance Performance menunjukkan bahwa terdapat  tiga atribut yang menjadi prioritas utama perbaikan mutu yakni Situs portal akademik Universitas Trunojoyo Madura memberikan informasi administrasi dan akademik mahasiswa yang jelas,detail dan ter update (KI 4), Informasi administrasi dan akademik disitus portal akademik UTM dapat dipercaya  (KI 3), Melalui portal UTM, pengguna merasa aman bahwa data akademik mahasiswa (KRS, KHS, Transkrip, data personal) sesuai (KIP 4).
Kata kunci : website, importance performance, webqual, indeks kepuasan pelanggan.
",pemasaran
PENGARUH KEPEMIMPINAN DAN KOMPENSASI TERHADAP KINERJA PEGAWAI DINAS PENDIDIKAN KABUPATEN SAMPANG,Penulis : Hendri Wahyudi Prayitno,"Dra. Hj. S Anugrahini Irawati, MM","Helmi Buyung Aulia,S,ST,SE,.MT","Abstrak
Penelitian ini menggunakan metode kuantitatif, yang menekankan pada pengujian hipotesis. Variabel yang digunakan pada penelitian ini adalah kepemimpinan(X1), kompensasi (X2). Penelitian ini dilaksanakan di Kantor Dinas Pendidikan Kabupaten Sampang dan sampel yang digunakan adalah sebanyak 50 orang yang terdiri dari pegawai negeri sipil dan non PNS. 
Hipotesis pertama menjelaskan bahwa variabel bebas secara bersamaâsama mempunyai hubungan yang signifikan secara simultan antara kepemimpinan (X1) dan kompensasi (X2) terhadap kinerja pegawai (Y), hal ini terbukti dengan nilai Fhitung pada tingkat ? = 5% sebesar 11,645 dengan nilai R2 sebesar 0,311. 
Hipotesis kedua menjelaskan bahwa variabel kompensasi sebagai variabel yang mempunyai pengaruh dominan, hal ini terbukti dengan nilai t hitung 3,072 ini berarti bahwa terdapat pengaruh positif dan signifikan secara parsial antara variabel bebas (X2) terhadap variabel terikat (Y). 
Kesimpulan penelitian ini adalah pengujian hipotesis pertama menunjukkan bahwa berdasarkan pengujian statistik secara simultan, variabel  bebas memiliki pengaruh yang signifikan terhadap variabel terikat. Pengujian hipotesis kedua membuktikan bahwa variabel kompensasi (X2) merupakan variabel yang berpengaruh dominan terhadap kinerja pada pegawai Dinas Pendidikan Kabupaten Sampang. 
Kata kunci : Kepemimpinan, Kompensasi, Kinerja
",msdm
PENGARUH KOMPETENSI DOSEN TERHADAP KINERJA DOSEN DI UNIVERSITAS TRUNOJOYO MADURA,Penulis : Aththaariq,"Dr.RM Moch Wispandono,.S.E,.MS","Dr. Muhammad Alkirom Wildan,S.E.,M.Si.","Abstrak

Aththaariq, Pengaruh Kompetensi Dosen Terhadap Kinerja Dosen Di Universitas Trunojoyo Madura. Dibawah bimbingan Dr.RM Moch Wispandono,.S.E,.MS dan Dr. Muhammad Alkirom Wildan,S.E.,M.Si.
Penelitian ini bertujuan untuk menganalisis pengaruh kompetensi pedagogik (X1), kompetensi profesional (X2), kompetensi sosial (X3), dan kompetensi kepribadian (X4), terhadap variabel terikat kinerja dosen di Universitas Trunojoyo Madura.
Data yang digunakan dalam penelitian ini adalah data primer, data tersebut diperoleh dari hasil penyebaran kuesioner,  sedangkan yang menjadi responden dalam penelitian ini adalah dosen di Universitas Trunojoyo Madura yang sudah tersertifikasi aktif mulai dari tahun 2008-2011 berjumlah 78 dosen, teknik pengambilan sampel menggunakan judgmental sampling dengan menggunakan metode analisis regresi linier berganda.
Dari hasil penelitian yang telah dilakukan berdasarkan hasil analisis dapat disimpulkan bahwa kompetensi pedagogik (X1), kompetensi profesional (X2), kompetensi sosial (X3), dan kompetensi kepribadian (X4), berpengaruh secara signifikan terhadap variabel terikat kinerja dosen (Y) baik secara simultan maupun parsial. Pada nilai koefisiensi determinasi berganda (R2) menunjukkan nilai sebesar 0.796 yang artinya 79.6% kinerja dosen dipengaruhi oleh perubahan semua variabel bebas yang telah diteliti dan sisanya 20.4% dipengaruhi oleh variabel yang tidak diteliti. Sedangkan variabel yang memiliki pengaruh dominan adalah variabel kompetensi pedagogik dengan nilai signifikansi sebesar 0.000 dan memiliki nilai beta  sebesar 0.426. 

Kata kunci: Kompetensi pedagogik, kompetensi profesional, kompetensi sosial, kompetensi kepribadian,dan kinerja dosen.

",keuangan
"PENGARUH PERILAKU KONSUMEN TERHADAP KEPUTUSAN PEMBELIAN PRODUK HONDA MEREK VARIO
(Study Pada Dealer Surya Agung Motor Bangkalan)

",Penulis : Haryono Arifin,"Dr. Ir Nurita Andriani, MM","Nirma Kurriwati, S.P., M.Si","ABSTRAK
Haryono Arifin, Pengaruh Perilaku Konsumen Terhadap Keputusan Pembelian Produk Honda Merek Vario 
(Studi Pada Dealler Surya Agung Motor Bangkalan).

Tujuan penelitian ini adalah untuk : (1) mengetahui seberapa besar pengaruh perilaku konsumen terhadap keputusan pembelian Honda Merek Vario di Dealer Surya Agung Motor Bangkalan (2) Untuk mengetahui variabel manakah diantara perilaku konsumen yang terdiri dari kebudayaan, sosial, pribadi dan psikologis yang dominan dalam keputusan pembelian konsumen terhadap Honda Merek Vario. Penelitian ini menggunakan pendekatan kuantitatif, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuesioner untuk dianalisa dan penelitian ini merupakan penelitian yang menggunakan populasi sebanyak 50 responden, konsumen yang melakukan pembelian Honda Merek Vario di Dealer Surya Agung Motor Bangkalan yang dijadikan responden serta dianalisis dengan SPSS Versi 16.00
Kesimpulan penelitian ini adalah (1) Pengujian hipotesis pertama menunjukkan bahwa variabel perilaku konsumen (kebudayaan, sosial, pribadi dan psikologis) berpengaruh secara simultan terhadap keputusan pembelian Honda merek Vario. (2) Pengujian hipotesis kedua menunjukkan bahwa variabel psikologis adalah variabel yang berpengaruh dominan.
Kata kunci: Kebudayaan, Sosial, Pribadi, Psikologis, Keputusan Pembelian.
",msdm
PENGARUH TIPE KEPEMIMPINAN TERHADAP PRESTASI KERJA PEGAWAI PADA KANTOR KECAMATAN PANGARENGAN KABUPATEN SAMPANG ,Penulis : Dharma Abidin Syah,"Drs. Ec. Mudji Kuswinarno M,Si","Faidal SE, MM","ABSTRAK
	Dharma Abidin Syah,Kesimpulan: (1) Terdapat pengaruh signifikan antara variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan terhadap variabel Prestasi Kerja pegawai di kantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji F anova menunjukan bahwa nilai Fhitung (6,459) > Ftabel (2,92). Variabel tipe kepemimpinan (Autoritarian, Laissez-Faire, dan Demokratis), secara simultan memberikan kontribusi sebesar 42,7% terhadap Prestasi Kerja pegawai.(2) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Autoritariansecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (0,652) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Autoritarian memberikan kontribusi sebesar 1,61% terhadap variabel Prestasi Kerja pegawai. (3) Tidak terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Laissez-Fairesecara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang.
	Hasil uji t menunjukan bahwa nilai t hitung (1,617) < t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Laissez-Faire memberikan kontribusi sebesar 9,12% terhadap variabel Prestasi Kerja pegawai. (4) Terdapat pengaruh signifikan antara variabel kepemimpinan Tipe Demokratis secara parsial terhadap Prestasi Kerja pegawaidikantor Kecamatan Pangarengan Kabupaten Sampang. Hasil uji t menunjukan bahwa nilai t hitung (3,624) > t tabel (2,045). Secara parsial variabel kepemimpinan Tipe Demokratis memberikan kontribusi sebesar 33,52% terhadap variabel Prestasi Kerja pegawai. (5) Variabel Tipe Demokratis mempunyai nilai koefisien determinasi lebih besar daripada variabel bebas lainya dan merupakan variabel dominan berpengaruh terhadap variabel Prestasi Kerja pegawai dikantor Kecamatan Pangarengan Kabupaten Sampang
Kata Kunci: Tipe Kepemimpinan, Prestasi Kerja, Pegawai. 
",msdm
PENGARUH DIMENSI KUALITAS PELAYANAN TERHADAP KEPUASAN KONSUMEN PADA DEPOT BAROKAH PRAMBON KABUPATEN SIDOARJO,Penulis : Toni Budianto,"Bambang Setiyo Pambudi, S.E., MM.","Fathor AS, S.E., MM.","ABSTRAK

Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel yang mempengaruhi kepuasan konsumen baik secara simultan maupun parsial. Metode yang digunakan yaitu dengan metode kuantitatif dengan populasi seluruh konsumen Depot Barokah Prambon yang menggunakan pelayanan dari Depot Barokah Prambon dengan jumlah sampel sebanyak 60 responden menggunakan teknik Accidental Sampling. Teknik analisis yang digunakan adalah analisis regresi linier berganda. Hasil penelitian menunjukkan bahwa variabel independen yang terdiri dari variabel bukti fisik (X1), kehandalan (X2), dan jaminan (X4) secara parsial berpengaruh signifikan terhadap kepuasan konsumen (Y), sedangkan variabel independen daya tanggap (X3) dan empati (X5) berpengaruh tidak signifikan terhadap variabel dependen kepuasan konsumen (Y), Serta variabel jaminan (X4) mempunyai pengaruh yang paling besar terhadap kepuasan konsumen (Y). Sedangkan secara simultan menunjukkan semua variabel independen kualitas pelayanan (X) secara simultan berpengaruh signifikan terhadap variabel dependen kepuasan konsumen (Y).

Kata Kunci : Kualitas Pelayanan, Bukti Fisik, Kehandalan, Daya Tanggap, Jaminan, Empati, dan Kepuasan Konsumen.
",pemasaran
"ANALISIS TINGKAT RISIKO KREDIT 
PADA PD. BPR BANK DAERAH LAMONGAN
",Penulis : Iwan Kurniawan Gomes,"Drs. Ec. Makhmud Zulkifli, M.Si","Echsan Gani, S.E., M.SI","Hasil dari penelitian ini dari perhitungan Credit Risk Ratio menunjukan bahwa NPL Pada PD. BPR Bank Daerah Lamongan selama empat tahun (2008-2011) mengalami penurunan hal ini terlihat dari tingkat resiko pada tahun 2008 yang sebesar 8.893.499.978 atau sebesar 9,91%, tahun 2009 sebesar 7.501.778.630 atau sebesar 6,68%, tahun 2010 sebesar 7.986.193.006 atau sebesar 5,40% dan tahun 2011 sebesar 6.555.778.682 atau sebesar 4,88%.
Kesimpulan penelitian ini adalah tingkat resiko pada PD. BPR Bank Daerah Lamongan dari tahun (2008-2011) mengalami penurunan tingkat resiko dan pada tahun 2011 NPL 4,88% dikatagorikan baik berdasarkan ketentuan Bank Indonesia yaitu dengan syarat NPL maksimal sebesar 5%.
Kata kunci : Credit Risk Ratio dan Non Performing Loan.
",msdm
"Analisis Inovasi Dan Keunggulan Bersaing 
Dalam Meningkatkan Kinerja Pemasaran
(Studi Pada Optik Reza Lamongan)",Penulis : Sandy Ardiansyah,"Dr. Ir. Nurita Andriani, MM.","Suyono, S.E., M. S. M.","ABSTRAK
	Tujuan penelitian ini adalah mendeskripsikan inovasi, keunggulan bersaing, kinerja pemasaran sebelum dan sesudah diterapkannya inovasi dan keunggulan bersaing pada Optik Reza Lamongan. Penelitian ini menggunakan deskriptif kualitatif dengan pendekatan fenomenologi. Teknik pengumpulan data yang digunakan adalah wawancara, observasi, penggunaan dokumen. Sedangkan teknik analisis data dilakukan dengan cara data reduction, data display, conclusion drawing atau verification.
	Hasil penelitian menunjukkan bahwa dalam perusahaan Optik Reza Lamongan telah melakukan sebuah inovasi, keunggulan bersaing dalam meningkatkan kinerja pemasaran. Setelah Optik Reza Lamongan menerapkan inovasi dan keunggulan bersaing volume omzet penjualan semakin meningkat terbukti pada tahun ke tahun terus mengalami peningkatan. Produk yang ditawarkannya semakin mengalami perbaikan, sehingga pangsa pasarnya semakin meluas ke segala daerah yang ada di Jawa Timur dan Jawa Tengah.
	
Kata kunci : Inovasi, Keunggulan Bersaing, Kinerja Pemasaran

",pemasaran
