judul,isi,label
PAN usung Khofifah maju di Pilkada Jatim 2024," Surabaya (ANTARA) - Ketua Umum Partai Amanat Nasional (PAN) Zulkifli Hasan atau Zulhas menyatakan partainya mengusung nama Khofifah Indar Parawansa untuk maju dalam Pemilihan Kepala Daerah (Pilkada) Jawa Timur 2024. Hal itu disampaikan Zulhas saat membuka acara konsolidasi yang diikuti oleh seluruh calon legislatif PAN se-Jawa Timur di Surabaya, Senin sore. ""Saya hadir di Jawa Timur, berpesan agar Ibu Khofifah hadir karena ingin mengumumkan calon gubernur dari PAN mendatang dan sudah saya bawa rekomendasinya, itu adalah Ibu Khofifah,"" kata Zulhas dalam pidatonya. Bahkan, pada kesempatan itu Zulhas juga secara langsung menyerahkan surat rekomendasi kepada Khofifah. Zulhas menjelaskan alasan diberikannya rekomendasi itu karena melihat sepak terjang Khofifah selama memimpin Jawa Timur. ""Alhamdullillah ibu diberikan amanah memimpin dan Jawa Timur tambah maju,"" ucapnya. Dia pun optimistis Khofifah bisa memenangkan konstelasi Pilkada Jawa Timur 2024, sehingga bisa melanjutkan kinerja pembangunan di wilayah setempat. ""Bu Khofifah insya Allah menang lagi,"" ujar menteri perdagangan tersebut. Pantauan ANTARA di lokasi, pengumuman rekomendasi itu disambut riuh tepuk tangan dari seluruh kader PAN yang hadir pada acara konsolidasi tersebut. Sementara itu, Gubernur Jawa Timur Khofifah Indar Parawansa mengaku terkejut dengan keputusan PAN mengusung dirinya untuk terjun pada Pilkada tahun depan. Sebab, saat menerima undangan untuk menghadiri agenda tersebut, dia sama sekali tak menerima informasi soal rekomendasi itu, posisinya hadir pun hanya sebatas tamu undangan. ""Saya surprise karena tidak ada info sebelumnya soal penyerahan rekomendasi untuk pemilihan gubernur,"" kata dia saat hendak meninggalkan lokasi acara. Dia mengucapkan terima kasih kepada seluruh jajaran PAN lantaran sudah memberikan kepercayaan dan dukungan penuh. ""Tentu terima kasih dan apresiasi kepada PAN yang sudah mengawali pemberian dukungan untuk tahun depan,"" ucapnya. Baca juga: Survei: Elektabilitas PAN diprediksi lolos ambang batas parlemen Baca juga: PAN: Menteri cuti ikut kampanye tergantung izin presiden Baca juga: Gubernur Khofifah dorong kemandirian usaha siswa SMA/SMKPewarta: Abdul Hakim/Ananto PradanaEditor: Guido Merung COPYRIGHT © ANTARA 2023 ",politik
Timnas AMIN bantah tudingan minta debat cawapres ditiadakan," ANTARA - Tim Nasional Pemenangan Anies Baswedan-Muhaimin Iskandar (Timnas AMIN) membantah tudingan bahwa pihaknya meminta debat cawapres ditiadakan. Bantahan tersebut disampaikan oleh Kapten Timnas AMIN Muhammad Syaugi usai menghadiri Peluncuran Safari Natal AMIN di Jakarta, Senin (4/12). (Tri Meilani Ameliya /Ahmad Muzdaffar Fauzan /Rizky Bagus Dhermawan/Ludmila Yusufin Diah Nastiti) ",politik
"Bawaslu luncurkan program ""ngampus""  dan mobil pengawasan pemilu"," Bandung (ANTARA) - Badan Pengawasan Pemilu (Bawaslu) menggelar program ngampus dan meluncurkan mobil pengawasan pemilu keliling di Universitas Islam Negeri (UIN) Sunan Gunung Djati (SGD) Bandung untuk memaksimalkan partisipasi masyarakat dalam Pemilu 2024. Komisioner dan Koordinator Divisi Pencegahan, Partisipasi Masyarakat, dan Humas Bawaslu, Loly Suhenty menjelaskan bahwa program Bawaslu Ngampus ini digagas untuk memastikan civitas perguruan tinggi mendapatkan informasi dan mendorong pengawasan partisipatif. ""Karena Bawaslu diberi amanah oleh undang-undang untuk meningkatkan pengawasan partisipatif, dan kali ini di UIN SGD Bandung yang dalam sejarahnya melahirkan banyak sekali aktivis, sehingga kami berharap UIN ada di depan untuk memastikan seluruh jajaran civitas akademik termasuk masyarakat sekitar menjadi aktor pengawasan partisipatif untuk Pemilu 2024,"" kata Loly, Senin. Program ini juga, lanjut Loly, akan diterapkan di kampus lainnya, pasalnya saat ini komposisi pemilih muda dalam Pemilu 2024, adalah 52 persen dari total Daftar Pemilih Tetap (DPT). ""Ini akan berjalan di kampus lain, termasuk juga kampus di Papua, sehingga harapan kami pemilih muda memang hadir dan memberikan perhatian besar untuk Pemilu dan berkontribusi nyata untuk Pemilu,"" ucapnya. Terkait dengan mobil pengawasan pemilu keliling yang diberi nama ""Mobil Pojok Pengawasan Keliling"", Loly mengatakan juga sebagai katalisator untuk memastikan tidak ada pelanggaran yang terjadi minimal di lingkungan sendiri, dengan cara memberikan sarana bagi civitas kampus untuk memperkuat literasi pengawasan pemilu, dan wadah pelaporan dugaan pelanggaran itu. Terlebih, kata Loly, saat ini tengah berjalan tahapan penting dalam pemilu, yaitu kampanye. ""Harapannya, para mahasiswa bisa aktif mengawasi upaya peserta pemilu memperkenalkan dirinya ke publik sesuai peraturan perundang-undangan yang berlaku,"" tutur dia. Salah satu yang bisa dilakukan mahasiswa dan kelompok pemuda lainnya sebagai aktor dalam Pemilu 2024, adalah mengawasi penyebaran informasi di media sosial, atau seminimal mungkin tidak menjadi penyebar hoaks, penghasut yang menyebarkan ujaran kebencian, dan tidak menjadi orang yang menerima uang untuk mempengaruhi pilihan. ""Dengan ponsel saja kita semua sudah bisa menjadi aktor dalam Pemilu 2024,"" tuturnya. Sementara itu, Rektor UIN SGD Bandung Rosihon Anwar menilai positif pemilihan kampus UIN SGD Bandung sebagai langkah lanjut Bawaslu sebagai fasilitas dan sumber informasi bagi civitas akademik di sana, namun dia menginginkan ada peran serta dari Bawaslu daerah. ""Kami berharap acara ini bukan hanya cukup dengan seminar hari ini saja, tapi juga Bawaslu baik di tingkat provinsi ataupun kota kabupaten juga tetap mendampingi kami untuk mendapatkan informasi yang penting terkait dengan pengawasan pemilu dan mendorong kami untuk ikut berpartisipasi dalam pengawasan pemilu,"" ucap Rosihon.Pewarta: Ricky PrayogaEditor: Hisar Sitanggang COPYRIGHT © ANTARA 2023 ",politik
Relawan Prabu: Lampung jadi perhatian untuk menangkan Prabowo-Gibran," Bandarlampung (ANTARA) - Dewan Pembina Relawan Prabowo Budiman Bersatu (Prabu), Budiman Sudjatmiko, mengatakan bahwa Provinsi Lampung menjadi salah satu daerah di Sumatera yang menjadi perhatian untuk memenangkan suara Calon Presiden (Capres) Prabowo Subianto dan Calon Wakil Presiden (Cawapres) Gibran Rakabuming Raka. ""Lampung adalah daerah dengan jumlah pemilih terbesar kedua di Sumatera setelah Sumatera Utara. Tentu bagi relawan, ini menjadi perhatian tersendiri,” kata Budiman pada gelaran konser Prabu Untuk Indonesia Maju di Lapangan PKOR, Way Halim, Bandarlampung, Senin. Dia pun meyakini, Prabowo-Gibran bisa meraup suara kemenangan di Lampung sebanyak 60 persen, terlebih saat ini separuh lebih pemilih di Indonesia adalah pemuda. ""Kemenangan Prabowo-Gibran dapat berarti anak muda bisa buat hal-hal besar dan cita-cita besar. Anak muda tidak boleh bercita-cita kecil harus besar. Indonesia sekarang isinya banyak anak muda, tetapi syaratnya satu yakni datang ke TPS pada 14 Februari 2024 mendatang, buktikan anak muda bersama tokoh senior yang keren Pak Prabowo memimpin Indonesia,"" kata dia. Kemudian, Budiman pun mengajak seluruh masyarakat untuk beriang gembira, bersahabat, dan senantiasa mengedepankan persatuan nasional serta rasa saling percaya antara anak bangsa dalam menjalankan pesta demokrasi. “Kita ini adalah sesama anak bangsa, yang perlu memupuk rasa saling percaya, dan saling bekerja sama, maka pada pemilu ini mari dijalankan dengan riang gembira,"" kata dia. Sekretaris Jenderal (Sekjen) Prabu Jonedi Manalu, menjelaskan bahwa Konser Prabu Untuk Indonesia Maju di Lampung adalah pembuka dari rangkaian kampanye Prabu untuk memenangkan pasangan Prabowo Subianto – Gibran Rakabuming di Pemilu Presiden 2024 mendatang. ""Pemilihan Lampung sebagai lokasi konser Prabu Untuk Indonesia Maju karena provinsi ini dirasa bisa menjadi contoh tentang Masyarakat yang sangat terbuka dan beragam,"" kata dia. Konser Prabu Untuk Indonesia Maju di Lapangan PKOR, Way Halim, menghadirkan band papan atas Indonesia yakni Dewa 19 dan dihadiri oleh sejumlah tokoh seperti Budiman Sudjatmiko serta Hashim Djojohadikusumo, serta Tim Kampanye Daerah (TKD) Lampung Prabowo-Gibran. Baca juga: Relawan GP Prabu Jawa Tengah deklarasi ikhlas dukung Prabowo Pewarta: Dian HadiyatnaEditor: Guido Merung COPYRIGHT © ANTARA 2023 ",politik
Bahlil bentuk Media Center Indonesia Maju demi stabilitas investasi," Jakarta (ANTARA) - Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal (BKPM) Bahlil Lahadalia membentuk pusat pemberitaan Media Center Indonesia Maju untuk menjaga stabilitas investasi agar tetap dalam keadaan baik. ""Salah satu stabilitas itu bisa dipicu stabil atau tidak tergantung dengan informasi dan data,"" kata Bahlil di Media Center Indonesia Maju di Jalan Pangeran Diponegoro, Menteng, Jakarta Pusat, Senin. Bahlil mengatakan saat ini banyak isu soal kepemerintahan yang bergulir di masyarakat. Isu yang dimaksud Bahlil yaitu berkaitan dengan pembangunan infrastruktur hingga peningkatan perekonomian. Isu-isu itu menurut dia berpotensi menyesatkan masyarakat karena tidak terkonfirmasi secara langsung dari sumber yang kredibel. Pemberitaan itu pula yang dinilai Bahlil dapat berpotensi merusak iklim investasi asing yang mau masuk Indonesia. Karena itu Bahlil dan jajaran kementeriannya berinisiatif untuk membuat wadah pusat pemberitaan ini. Dia mengatakan pihaknya akan menyiapkan narasumber yang dibutuhkan wartawan untuk diwawancarai terkait isu tertentu. Namun Bahlil tidak akan menggunakan wadah ini sebagai tempat memberi keterangan politik yang berkaitan dengan pemilu. ""Contoh katakanlah sekarang ada salah satu tim dari pasangan capres yang bilang bahwa IKN mau dipindahkan, nah itu bisa ditanya di situ juga. Nanti kita hadirkan Kementerian PU, kita hadirkan Bappenas untuk bisa meluruskan,"" jelas dia. Bahlil mengaku sudah berkoordinasi dengan Kementerian Komunikasi dan Informatika terkait pembentukan Media Center Indonesia Maju tersebut. Dia berharap keberadaan Media Center Indonesia Maju ini bisa membantu pemerintah dalam menjaga iklim investasi. Namun dia enggan menjelaskan secara rinci terkait berapa biaya yang dianggarkan untuk pembentukan media center tersebut. Baca juga: Bahlil: ""Wes Wayahe"" bentuk jargon optimisme Prabowo-Gibran Baca juga: REPNAS siap cetak 2 juta pengusaha bersama Prabowo-GibranPewarta: Walda MarisonEditor: Imam Budilaksono COPYRIGHT © ANTARA 2023 ",politik
ASN Pemprov NTB berikrar netral pada Pemilu 2024," Mataram (ANTARA) - Penjabat (Pj) Gubernur Nusa Tenggara Barat, Lalu Gita Ariadi memimpin apel ikrar netralitas Aparatur Sipil Negara (ASN) di lingkungan Pemerintah Provinsi NTB untuk menyukseskan pelaksanaan Pemilu tahun 2024. Pj Gubernur NTB Lalu Gita Ariadi menegaskan pembacaan deklarasi ikrar netralitas ASN itu ditujukan untuk menyongsong pelaksanaan pemilu, baik pemilihan presiden, pemilu legislatif maupun kepala daerah (gubernur, bupati/wali kota) yang akan dilaksanakan serentak di tahun 2024. ""Pembacaan ikrar ini sebagai komitmen Pemerintah Provinsi (Pemprov) NTB dalam mendukung pelaksanaan pemilu presiden, gubernur, bupati, DPRD dan wali kota, sebelum maupun selama pelaksanaan momentum politik ini, bentuk integritas kita menjadi pelayan abdi negara dan masyarakat yang sebaik-baiknya,"" ujarnya. Miq Gite sapaan akrabnya mengatakan Pemprov NTB bersama unsur aparat keamanan akan melakukan deteksi dini dan membantu penyelenggara pemilu, KPU dan Bawaslu dalam melakukan sosialisasi agar masyarakat di tahun politik dicerahkan dalam mengikuti proses politik yang akan berlangsung dengan riang gembira hati tenang dan damai serta tidak mengeksploitasi unsur emosi yang berlebihan. ""ASN memiliki peran kunci dalam memastikan jalannya proses pemilihan yang aman dan damai dengan membantu mensosialisasikan aparat penyelenggara pemilu, sehingga segala narasi yang sudah diikrarkan mampu menjadi motivasi dan inspirasi dalam melakukan kerja-kerja birokrasi,"" katanya. Selain apel ikrar netralitas ASN, kegiatan tersebut juga dirangkai dengan penyerahan Satya Lencana Karya Satya dari Presiden RI kepada beberapa ASN yang telah memberikan kontribusi luar biasa untuk NTB. Acara yang digelar di halaman kantor gubernur itu menjadi wadah untuk menyampaikan tekad netralitas ASN dalam menghadapi momen demokrasi yang akan datang. Adapun bunyi ikrar netralitas ASN tersebut, antara lain menjaga dan menegakkan prinsip netralitas pegawai ASN di instansi masing-masing dalam melaksanakan fungsi pelayanan publik baik sebelum selama maupun sesudah pelaksanaan pemilu dan pemilihan tahun 2024. Selanjutnya menghindari konflik kepentingan tidak melakukan praktik- praktik intimidasi dan ancaman kepada pegawai ASN dan seluruh elemen masyarakat serta tidak memihak kepada pasangan calon tertentu. Menggunakan media sosial secara bijak dan tidak menyebarkan ujian kebencian serta berita bohong. Kemudian menolak politik uang dan segala jenis pemberian dalam bentuk apapun demikian ikrar ini kami buat dan dilaksanakan dengan penuh integritas dan rasa tanggung jawab dalam rangka mewujudkan netralitas pegawai ASN yang bermartabat, beretika dan demokratis demi terwujudnya kesatuan dan persatuan NKRI.Pewarta: Nur ImansyahEditor: Hisar Sitanggang COPYRIGHT © ANTARA 2023 ",politik
Presiden Jokowi lakukan kunjungan kerja ke NTT," Kupang (ANTARA) - Presiden Joko Widodo tiba di bandara Komodo, Labuan Bajo, Kabupaten Manggarai Barat, Provinsi Nusa Tenggara Timur dalam rangka memulai sejumlah rangkaian kunjungan kerjanya ke provinsi yang berbasis kepulauan itu. Kepala Penerangan Korem 161/Wira Sakti Kupang Mayor Inf Arwan Minarta dalam keterangannya yang diterima di Kupang, Senin malam mengatakan bahwa Jokowi tiba di bandara Komodo pada pukul 16.30 WITA waktu setempat. Kedatangan orang nomor satu di Indonesia itu disambut oleh Pangdam IX/Udayana Mayjen TNI Harfendi, didampingi Komandan Korem 161/Wira Sakti Brigjen TNI Febriel Buyung Sikumbang, Kapolda NTT Irjen Pol Johanis Asadoma, penjabat Gubernur NTT dan sejumlah pejabat daerah lainnya. Arwan mengatakan bahwa kedatangan Presiden ke Nusa Tenggara Timur dalam rangka kegiatan Kunjungan Kerja (Kunker) selama tiga hari dari tanggal Senin (4/12) sampai dengan Rabu (6/12). Kunjungan pertama dilakukan di Labuan Bajo, Kabupaten Manggarai Barat dimana pelaksanaan kegiatannya akan dilakukan pada Selasa (5/12) pagi. Kemudian siangnya dilanjutkan di Kabupaten Nagekeo. Pada Selasa (5/12) sore Jokowi akan bertolak ke Kota Kupang, untuk kembali melakukan kunjungan kerja hari terakhirnya di ibu Kota Nusa Tenggara Timur yang mana kegiatannya dilakukan pada Rabu (6/12). Kapenrem mengatakan selaku Pangkogasgabpad PAM VVIP, Pangdam memimpin langsung kegiatan pengamanan kunjungan kepala negara selama di wilayah Nusa Tenggara Timur (NTT). Ribuan personel telah disiapkan untuk mengamankan kedatangan Presiden Jokp Widodo. Di Kota Kupang sendiri kurang lebih 3.000 personel gabungan disiapkan untuk mengamankan pelaksanaan kunjungan kerja Jokowi di ibu Kota Provinsi NTT. Baca juga: Presiden Joko Widodo dijadwalkan meresmikan Gereja Katedral Kupang Baca juga: Jokowi: Sertifikat elektronik kurangi risiko hilang kepemilikan tanah Baca juga: Pemerintah targetkan penyerahan 120 juta sertifikat tanah pada 2024Pewarta: Kornelis KahaEditor: Guido Merung COPYRIGHT © ANTARA 2023 ",politik
KPU RI putuskan moderator debat usai rapat koordinasi," Jakarta (ANTARA) - Anggota Komisi Pemilihan Umum (KPU) RI Idham Holik mengatakan bahwa pihaknya akan memutuskan moderator debat setelah rapat koordinasi dengan tiga tim kampanye pasangan capres-cawapres. Menurut Idham, rapat koordinasi diperlukan untuk mendengarkan masukan dan tanggapan dari para tim kampanye, termasuk mengenai moderator debat. ""Dalam pedoman teknis yang diterbitkan oleh KPU, berkenaan dengan moderator, KPU wajib menerima masukan dan tanggapan dari tim kampanye. Itulah pentingnya KPU mengadakan rapat koordinasi,"" kata Idham di Kantor KPU, Jakarta, Senin. Walaupun demikian, Idham belum menjelaskan secara rinci mengenai kapan pelaksanaan rapat koordinasi dan pengumuman moderator debat tersebut. ""Jika semuanya sudah siap, KPU sudah pasti akan mengkomunikasikan ini kepada publik,"" katanya. Idham juga menjelaskan bahwa kriteria utama moderator adalah yang memiliki kemampuan berbicara di depan publik yang persuasif dan atraktif. ""Yang jelas debat harus berkualitas dan menarik, itu kriteria utama. Dan kira-kira agar itu menarik dan berkualitas, prasyarat utamanya apa? Dia memiliki kemampuan public speaking yang persuasif dan atraktif,"" ujarnya. Adapun Idham mengatakan bahwa KPU RI akan mengadakan kembali rapat koordinasi dengan seluruh tim kampanye pasangan capres-cawapres untuk membahas mekanisme pelaksanaan debat. ""KPU sudah merencanakan bahwa KPU akan melakukan rapat koordinasi kembali dengan seluruh tim kampanye terlepas adanya pemberitaan yang begitu masif terkait dengan debat ini,"" kata Idham. Idham menjelaskan bahwa KPU akan menjelaskan seluruh mekanisme pelaksanaan debat dalam rapat tersebut. Sementara itu, lanjut dia, KPU mempersilakan tim kampanye untuk memberikan masukan dan tanggapan. ""Tetapi nanti keputusannya akan diambil oleh KPU secara mandiri. Jika keputusan sudah diambil maka hal tersebut langsung dikomunikasikan kepada publik,"" katanya. ""Secara mandiri itu artinya KPU mengambil keputusan secara legal framework, kerangka hukum,"" lanjutnya. Walaupun demikian, Idham belum menjelaskan secara rinci mengenai tanggal pelaksanaan dari rapat koordinasi yang mengundang para tim kampanye dari tiga pasangan capres-cawapres. ""Dalam waktu dekat, diupayakan segera mungkin,"" katanya. KPU telah menetapkan tema khusus untuk setiap sesi debat. Debat pertama pada 12 Desember akan membahas hukum, Hak Asasi Manusia (HAM), pemerintahan, pemberantasan korupsi, dan penguatan demokrasi. Debat kedua pada 22 Desember akan mengusung tema pertahanan, keamanan, geopolitik, dan hubungan internasional. Tema debat ketiga pada 7 Januari 2024 mencakup ekonomi (kerakyatan dan digital), kesejahteraan sosial, investasi, perdagangan, pajak (digital), keuangan, pengelolaan APBN. Debat keempat pada 21 Januari 2024 akan membahas energi, sumber daya alam (SDA), sumber daya manusia (SDM), pajak karbon, lingkungan hidup dan agraria, serta masyarakat adat. Debat terakhir pada 4 Februari 2024 akan fokus pada teknologi informasi, peningkatan pelayanan publik, hoaks, intoleransi, pendidikan, kesehatan (post-COVID Society), dan ketenagakerjaan. Tema-tema tersebut merujuk pada visi nasional dalam Pembukaan UUD NRI Tahun 1945 dan Rencana Pembangunan Jangka Panjang Nasional (RPJPN). Sementara itu, penetapan tiga pasangan calon peserta Pilpres 2024 telah dilakukan, dengan nomor urut sebagai berikut: Anies Baswedan-Muhaimin Iskandar nomor urut 1, Prabowo Subianto-Gibran Rakabuming Raka nomor urut 2, dan Ganjar Pranowo-Mahfud Md. nomor urut 3. KPU juga telah menetapkan masa kampanye mulai 28 November 2023 hingga 10 Februari 2024, dengan jadwal pemungutan suara yang akan dilaksanakan pada tanggal 14 Februari 2024. Baca juga: KPU RI akan rapat lagi bareng tim paslon bahas debat Pemilu 2024 Baca juga: TKN sebut Gibran punya persiapan matang untuk debat Baca juga: Timnas AMIN minta KPU RI segera jadwalkan debat capres-cawapresPewarta: Rio FeisalEditor: Alviansyah Pasaribu COPYRIGHT © ANTARA 2023 ",politik
Timnas luncurkan Safari Natal AMIN untuk sebarkan pesan damai," ANTARA - Tim Nasional Pemenangan Anies Baswedan-Muhaimin Iskandar (Timnas AMIN) meluncurkan kegiatan Safari Natal AMIN di Kantor Sekretariat AMIN, Jakarta, Senin (4/12). Ketua Deputi Katolik Timnas AMIN Sonny Soeharso menyampaikan safari tersebut bukan merupakan kampanye, melainkan kegiatan untuk menyebarkan pesan damai. (Tri Meilani Ameliya /Ahmad Muzdaffar Fauzan /Rizky Bagus Dhermawan/Hilary Pasulu) ",politik
Ari: Pergantian menteri Jokowi demi kepentingan bangsa dan negara," Jakarta (ANTARA) - Koordinator Staf Khusus Presiden Ari Dwipayana mengatakan pergantian menteri yang dilakukan Presiden Joko Widodo selalu dilakukan untuk kepentingan rakyat, bangsa dan negara. Hal itu disampaikan Ari Dwipayana menyikapi cerita mantan Menteri Agama Fachrur Razi dalam sebuah podcast di YouTube, yang menduga dirinya dicopot presiden Joko Widodo dari posisi menteri karena menolak membubarkan organisasi kemasyarakatan Front Pembela Islam (FPI). “Dalam hal pengangkatan dan pemberhentian menteri, Presiden pasti mempertimbangkan banyak hal untuk yang terbaik bagi kepentingan rakyat, bangsa dan negara,” kata Ari Dwipayana dalam pesan singkat di Jakarta, Senin. Ari mengatakan keputusan pembubaran FPI tertuang dalam Surat Keputusan Bersama (SKB) yang ditandatangani enam menteri dan kepala lembaga di bawah koordinasi Menko Polhukam, antara lain; Mendagri, Menkumham, Menkominfo, Jaksa Agung, Kapolri, dan Kepala BNPT. “SKB 6 K/L itu disampaikan pemerintah setelah rapat bersama yang dilakukan di Kantor Kemenko Polhukam pada tanggal 30 Desember 2020. Jejak digitalnya bisa dicek lagi,” kata Ari. Ari mengatakan tidak mengetahui apa yang melatarbelakangi isu pergantian Fachrur Razi sebagai Menteri Agama dan isu/kasus yang lain baru diangkat saat ini, di tengah proses kontestasi politik dalam pemilu. “Dalam istilah Bapak Presiden, untuk apa diramaikan? Dan untuk kepentingan apa itu diramaikan?” tanya dia. Sebelumnya dalam sebuah tayangan podcast Fachrur Razi mengatakan sejak awal masuk kabinet tahun 2019 hingga mengalami reshuffle kabinet, dirinya memiliki satu pandangan mencolok yang berbeda dengan Presiden Joko Widodo dan Wapres Ma’ruf Amin, yakni soal pembubaran FPI. Fachrur Razi mengatakan meskipun dirinya tidak mengenal FPI maupun para petinggi FPI, namun ia merasa ormas FPI hanya perlu dibina tanpa perlu dibubarkan. Pandangan itu tetap ia pegang teguh saat Presiden Joko Widodo menyelenggarakan rapat terbatas yang membahas pembubaran FPI. Fachrur Razi menyatakan dalam rapat terbatas itu hanya ia menteri yang menolak pembubaran FPI. “Seminggu ke depan saya di-reshuffle, tapi saya sudah tahu. Dan FPI dibubarkan,” kata Fachrur. Dia juga mengatakan bahwa usai pencopotan itu dirinya ditawari Presiden Widodo untuk menjadi duta besar (dubes), namun ia menolaknya. “Oleh Presiden saya ditawarkan jadi dubes, Saya bilang terima kasih banyak, tapi saya merasa lebih baik kumpul sama cucu. Saya menghargai tidak dibiarkan begitu saja oleh Presiden (usai dicopot), saya berterima kasih,” kata dia. Pewarta: Rangga Pandu Asmara JinggaEditor: Laode Masrafi COPYRIGHT © ANTARA 2023 ",politik
