Judul,Topik 1,Topik 2,Topik 3
PENGARUH FAKTOR-FAKTOR PELATIHAN DAN PENGEMBANGAN TERHADAP PRODUKTIVITAS KERJA DINAS KELAUTAN DAN PERIKANAN KABUPATEN BANGKALAN,0.0009949013394385327,0.2122703988104382,0.7867346998501232
ANALISIS PERSEPSI BRAND ASSOCIATION MENURUT PELANGGAN PAKAIAN KIDDROCK (STUDI PADA DISTRO CRANBERRIES PAMEKASAN),0.9962557478699353,0.0018638464943993112,0.001880405635665344
Pengukuran Website Quality Pada Situs Sistem Akademik Online Menggunakan Analisis Tingkat Kepentingan - Kinerja (Studi Pada Portal Akademik UTM),0.22269104937320494,0.7759336212370709,0.0013753293897241297
PENGARUH KEPEMIMPINAN DAN KOMPENSASI TERHADAP KINERJA PEGAWAI DINAS PENDIDIKAN KABUPATEN SAMPANG,0.2211407379942244,0.5095901135918172,0.2692691484139585
PENGARUH KOMPETENSI DOSEN TERHADAP KINERJA DOSEN DI UNIVERSITAS TRUNOJOYO MADURA,0.5345076993231571,0.463924993447042,0.001567307229800912
"PENGARUH PERILAKU KONSUMEN TERHADAP KEPUTUSAN PEMBELIAN PRODUK HONDA MEREK VARIO
(Study Pada Dealer Surya Agung Motor Bangkalan)

",0.9962398311457638,0.0018707059188323234,0.0018894629354039025
PENGARUH TIPE KEPEMIMPINAN TERHADAP PRESTASI KERJA PEGAWAI PADA KANTOR KECAMATAN PANGARENGAN KABUPATEN SAMPANG ,0.9832861561894456,0.015455783412402516,0.0012580603981519505
PENGARUH DIMENSI KUALITAS PELAYANAN TERHADAP KEPUASAN KONSUMEN PADA DEPOT BAROKAH PRAMBON KABUPATEN SIDOARJO,0.7276139341641663,0.270073340280118,0.002312725555715794
"ANALISIS TINGKAT RISIKO KREDIT 
PADA PD. BPR BANK DAERAH LAMONGAN
",0.18556733277063558,0.8100164153293741,0.004416251899990397
"Analisis Inovasi Dan Keunggulan Bersaing 
Dalam Meningkatkan Kinerja Pemasaran
(Studi Pada Optik Reza Lamongan)",0.0673784869836788,0.9301149863686372,0.0025065266476839935
"PELAPORAN BIAYA KUALITAS UNTUK MEMINIMALKAN TERJADINYA RISIKO PRODUK CACAT DALAM MENINGKATKAN PROFITABILITAS PERUSAHAAN PADA CV. KAPUAS INTI SARANA, SURABAYA",0.0024884451275152372,0.0024879007129750552,0.9950236541595097
Pengaruh Retailing Mix terhadap Keputusan Pembelian Konsumen pada Idola Mart Kwanyar,0.7495977775018097,0.22270949810060336,0.027692724397586996
PENGARUH PENGEMBANGAN KARIR TERHADAP SEMANGAT KERJA KARYAWAN PLN CABANG BANGKALAN,0.4172165113067038,0.5808232366095759,0.001960252083720348
"PENGARUH PERSEPSI MANFAAT, PERSEPSI KEMUDAHAN, KEAMANAN DAN KETERSEDIAAN FITUR TERHADAP MINAT ULANG NASABAH BANK DALAM MENGGUNAKAN INTERNET BANKING (Studi pada Program Layanan Internet Banking BRI)",0.9955230162845358,0.002235823124715272,0.0022411605907489765
analisis faktor-faktor yang berpengaruh terhadap kebijakan deviden pada perusahaan manufaktur yang terdaftar di BEI periode 2008-2011,0.0018109011881396384,0.0018210742558433999,0.996368024556017
"PENGARUH CELEBRITY ENDORSER IWAN FALS TERHADAP MINAT BELI PRODUK TOP COFFEE
( STUDI PADA MASYARAKAT SUMUR KEMBANG KELURAHAN PEJAGAN KECAMATAN BANGKALAN KABUPATEN BANGKALAN )",0.0018263587910317142,0.001807717129790665,0.9963659240791776
"Pengaruh Harga dan Kualitas Pelayanan terhadap Kepuasan Berbelanja pada Swalayan Tom & Jerry Bangkalan
",0.9959892601485352,0.0020025263557646184,0.0020082134957002656
PENGARUH RETAILING MIX (BAURAN ECERAN) TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN (Studi Pada Indah Swalayan Bangkalan),0.9974946175469097,0.0012496559299310299,0.0012557265231590924
ANALISIS CONSUMER DECISION MODEL (CDM) UNTUK MENGUKUR EFEKTIFITAS IKLAN COCA-COLA VERSI PIALA DUNIA 2010 DI TELEVISI (Studi Kasus Pada Mahasiswa Universitas Trunojoyo Madura),0.9937227762038298,0.003144539575351724,0.0031326842208184145
Pengaruh Kompensasi Terhadap Kinerja Karywan pada PT. Pos Indonesia (Persero) Kantor Cabang Bnagkalan ,0.0027376391873512682,0.9945011159361642,0.0027612448764845134
"Pengembangan Sumber Daya Manusia Dalam Rangka Meningkatkan Produktivitas Karyawan Pada
PT. Pos Indonesia (persero) Kantor Cabang Bangkalan
",0.3173904119383876,0.6802422466024807,0.0023673414591318586
PENGARUH ETOS KERJA TERHADAP RESTASI KERJA KARYAWAN PT. PLN (Persero) DISTRIBUSI JAWA TIMUR AREA MOJOKERTO.,0.00159393942731806,0.9968196839951571,0.0015863765775249393
"Pengaruh Budaya Terhadap Perilaku Pengemis Anak 
Di Kecamatan Kamal-Kab. Bangkalan",0.995730414077359,0.002141384486641441,0.0021282014359995465
PENGARUH FAKTOR-FAKTOR STRES KERJA TERHADAP DISIPLIN KERJA DOSEN UNIVERSITAS TRUNOJOYO MADURA,0.0026571766119015735,0.9947160827410915,0.0026267406470069257
PENGARUH STRUKTUR MODAL DAN LIKUIDITAS TERHADAP PROFITABILITAS PADA PERUSAHAAN LQ 45 YANG TERDAFTAR DI BEI,0.0018760782100883404,0.0018928545595450004,0.9962310672303667
"Analisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi
( studi pada perusahaan manufaktur yang melakukan akuisisi tahun 2008)
",0.00180733829858876,0.9963710031773725,0.001821658524038735
PENGARUH RELATIONSHIP MARKETING TERHADAP LOYALITAS NASABAH ADIRA FINANCE DI WILAYAH SURABAYA BARAT,0.9944367574898598,0.002774680120038763,0.0027885623901014217
"PENGARUH SELF EFFICACY TERHADAP PRESTASI AKADEMIK MAWAPRES
UNIVERSITAS TRUNOJOYO MADURA
",0.0024573565123331463,0.9951063264154107,0.0024363170722561346
Pengaruh Iklan di televisi terhadap keputusan konsumen untuk memakai kartu seluler XL di Kecamatan Geger (studi pada iklan versi: Paket Serbu (Versi Halte),0.9956492549072211,0.002165705438168353,0.0021850396546106592
Pengaruh Bauran Pemasaran Terhadap Keputusan Pembelian Produk XL di Kecamatan Bangkalan,0.9952378905630157,0.0023741620545009237,0.002387947382483368
"
PENGARUH LOKASI USAHA DAN KUALITAS PELAYANAN TERHADAP KEPUTUSAN PEMBELIAN DI RUMAH MAKAN
(Studi Pada Rumah Makan Depot Soto Asih Jaya Lamongan)
",0.9961277517058325,0.0019387949019863554,0.001933453392181195
PENGGUNAAN ANALISIS ALTMAN Z-SCORE UNTUK MENILAI TINGKAT KEBANGKRUTAN PADA PERUSAHAAN MAKANAN DAN MINUMAN YANG TERDAFTAR DI BURSA EFEK INDONESIA,0.002126846605363648,0.9957401243765063,0.0021330290181301296
ANALISIS PERBEDAAN PERGERAKAN HARGA SAHAM DAN VOLUME PERDAGANGAN SAHAM SEBELUM DAN SESUDAH KEBIJAKAN PEMECAHAN SAHAM (STOCK SPLIT) DI BURSA EFEK INDONESIA TAHUN 2007-2011,0.0021795207432637738,0.0021775455580394488,0.9956429336986968
PENGARUH BUNDLINGSTRATEGY TERHADAP KEPUTUSAN PEMBELIAN PADA RESTORAN QUICK CHICKEN CAB. RAYA DUKUH KUPANG  SURABAYA,0.9977510702417833,0.0011240112878693914,0.0011249184703472457
ANALISIS PORTOFOLIO YANG OPTIMAL DI BEI DENGAN MENGGUNAKAN SINGLE-INDEX MODEL,0.9974320827260843,0.0012841196571133022,0.001283797616802451
Pengaruh Rekrutmen Dan Pengembangan Karir Terhadap Kinerja Karyawan Pada Kantor Pusat PT. Gresik Cipta Sejahtera Kabupaten Gresik,0.0031323811880026777,0.9937585521321733,0.0031090666798239794
"PENGARUH IKLAN ONLINE MELALUI MEDIA FACEBOOK TERHADAP KEPUTUSAN PEMBELIAN PAKAIAN 
(STUDI PADA MAHASISWA FAKULTAS EKONOMI DAN BISNIS UNIVERSITAS TRUNOJOYO MADURA)",0.997490135661943,0.001254056101083566,0.0012558082369735245
Pengaruh Ekuitas Merek Terhadap Keputusan Pembelian Notebook Acer,0.0012001758342138288,0.0011853378660083467,0.9976144862997778
Pengaruh Atribut Produk Terhadap Keputusan Pembelian Sepeda Motor HONDA Supra X 125 (Studi Pada Dealer Surya Agung Motor Bangkalan),0.9977078818340367,0.001141547517026557,0.0011505706489368828
PENGARUH KUALITAS PELAYANAN TERHADAP KEPUASAN PASIEN PADA RUMAH SAKIT UMUM TERPADU SURABAYA,0.1392878612031866,0.859010104905669,0.0017020338911444837
PENGARUH IKLAN TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN HELM MEREK INK DI BANGKALAN,0.996281608286284,0.0018518604237370586,0.0018665312899789446
Pengaruh Harga dan Kualitas Produk Terhadap Keputusan Pembelian Pada Deterjen Rinso Anti Noda (Studi Pada Mahasiswa Universitas Trunojoyo Madura yang Berdomisili di Desa Telang Bangkalan),0.995772764094049,0.0021052143882377395,0.002122021517713209
ANALISA KUALITAS PELAYANAN JASA UNTUK MENGUKUR KEPUASAN PENGGUNA SEPEDA MOTOR DI JEMBATAN SURAMADU,0.962584249995238,0.03521213116186382,0.0022036188428981385
"ANALISIS FAKTOR-FAKTOR YANG MENENTUKAN PREFERENSI BELANJA ONLINE PRODUK FASHION (Studi Pada Mahasiswa Fakultas Ekonomi, Universitas Trunojoyo Madura)",0.9980979484514164,0.0009505615466500835,0.0009514900019335202
PENGARUH PERSEPSI NILAI TERHADAP KEPUASAN PELANGGAN SEPEDA MOTOR MEREK YAMAHA NEW JUPITER Z DI KOTA BANGKALAN,0.001526031117976909,0.0015166627786309728,0.9969573061033922
ANALISIS VOLUME PERDAGANGAN SAHAM DAN RETURN SAHAM SEBELUM DAN SESUDAH STOCK SPLIT PADA PERUSAHAAN GO PUBLIC DI BURSA EFEK INDONESIA TAHUN 2007-2011,0.0014414777909561964,0.0014465269924367485,0.9971119952166071
PERANAN MANAJEMEN PIUTANG TERTAHADAP RENTABILITAS ANTARA KOPERASI BERBASIS SYARIAH DENGAN KOPERASI BERBASIS KONVENSIONAL,0.0011667090460194224,0.9976727606352603,0.0011605303187202127
Pengaruh Strategi Promosi Terhadap Keputusan Pembelian Air Minum Dalam Kemasan (Studi Pada PT.MaanGhodaqo Siddiq Lestari Jombang),0.41140138735817916,0.0011350968950812703,0.5874635157467395
PENGARUH ATRIBUT PRODUK TERHADAP KEPUTUSAN PEMBELIAN MINYAK GORENG SANIA (Studi Pada Ibu-Ibu Di Perumahan Graha Kamal Permai Kecamatan Kamal),0.0011142627497017562,0.0011001174445427523,0.9977856198057555
PENGARUH PERILAKU KONSUMEN TERHADAP KEPUTUSAN PEMBELIAN PRODUK SUSU CAIR INDOMILK (Studi Pada Konsumen Swalayan Tom & Jerry Bangkalan),0.9968830652230509,0.0015511853723630198,0.001565749404585863
PENGARUH ATRIBUT PRODUK TERHADAP KEPUTUSAN PEMBELIAN PRODUK PENYEDAP RASA MASAKO (Studi pada Ibu-ibu Kecamatan Robatal Sampang),0.9969636209169596,0.0015132061321690676,0.0015231729508711847
PENGARUH UNSUR - UNSUR KOMUNIKASI TERHADAP PRODUKTIVITAS KERJA PEGAWAI NEGERI SIPIL DI DINAS PENDIDIKAN KABUPATEN BANGKALAN,0.9971259957700878,0.0014367842895726681,0.0014372199403396171
PENGARUH BAURAN PEMASARAN TERHADAP KEPUTUSAN PEMBELIAN PRODUK PETIS IKAN TUNA H.DIYA SAMPANG (STUDI PADA MASYARAKAT KELURAHAN BANYUANYAR KABUPATEN SAMPANG),0.9967333116722716,0.0016291821827668681,0.001637506144961552
PENGARUH PESAN IKLAN TELEVISI TERHADAP MINAT BELI JAMU TOLAK ANGIN SIDO MUNCUL PADA KONSUMEN PASAR MANYAR SURABAYA,0.10443730180977724,0.0012927973812119115,0.8942699008090109
"PENGARUH HARGA DAN KUALITAS PRODUK TERHADAP KEPUTUSAN PEMBELIAN
( STUDI PADA MARTABAK HAWAII DI BANGKALAN )
",0.027830275470154417,0.0015361587925762613,0.9706335657372692
